account_id,customer_id,account_type,currency,account_status,mobile_banking_flag,internet_banking_flag,atm_card_flag,checkbook_flag
ACC000000126,126,USD Nostro,USD,Active,1,1,0,1
ACC000000127,127,Mobile Wallet,USD,Active,1,0,1,0
ACC000000128,128,Savings,USD,Active,1,1,1,1
ACC000000129,129,Corporate Current,USD,Active,1,0,0,0
ACC000000130,130,USD Nostro,USD,Active,1,1,1,0
ACC000000131,131,Savings,USD,Active,1,1,1,0
ACC000000132,132,Corporate Current,USD,Active,0,0,1,1
ACC000000133,133,Mobile Wallet,USD,Restricted,0,1,1,0
ACC000000134,134,Mobile Wallet,USD,Restricted,0,1,1,1
ACC000000135,135,Corporate Current,ZWG,Active,1,1,0,0
ACC000000136,136,Call Account,GBP,Active,1,0,1,0
ACC000000137,137,USD Nostro,USD,Active,1,0,1,1
ACC000000138,138,Savings,USD,Active,1,1,1,1
ACC000000139,139,Current,EUR,Active,1,1,0,1
ACC000000140,140,Savings,GBP,Active,0,0,1,0
ACC000000141,141,Call Account,USD,Active,1,1,1,0
ACC000000142,142,Mobile Wallet,ZAR,Dormant,1,1,1,1
ACC000000143,143,Corporate Current,USD,Dormant,1,0,0,0
ACC000000144,144,Mobile Wallet,ZWG,Active,1,0,1,0
ACC000000145,145,Savings,ZWG,Active,1,1,1,0
ACC000000146,146,Call Account,EUR,Active,0,0,0,1
ACC000000147,147,Savings,GBP,Active,1,0,1,1
ACC000000148,148,Current,USD,Active,1,0,1,0
ACC000000149,149,Current,USD,Active,1,1,0,0
ACC000000150,150,Corporate Current,USD,Active,1,0,1,1
ACC000000151,151,Current,USD,Active,1,0,0,0
ACC000000152,152,Corporate Current,USD,Active,1,1,1,1
ACC000000153,153,Current,USD,Active,1,1,1,1
ACC000000154,154,Corporate Current,USD,Active,1,0,1,0
ACC000000155,155,USD Nostro,USD,Active,1,1,1,1
ACC000000156,156,Corporate Current,EUR,Active,1,0,1,1
ACC000000157,157,Money Market,GBP,Active,0,1,1,1
ACC000000158,158,Current,USD,Active,0,1,1,1
ACC000000159,159,Call Account,USD,Active,0,0,1,0
ACC000000160,160,Money Market,ZWG,Active,1,1,1,1
ACC000000161,161,Corporate Current,ZWG,Active,1,1,0,0
ACC000000162,162,Current,ZWG,Active,1,1,1,0
ACC000000163,163,Call Account,USD,Active,1,1,1,0
ACC000000164,164,Mobile Wallet,ZAR,Active,1,1,1,1
ACC000000165,165,Corporate Current,USD,Active,1,1,1,1
ACC000000166,166,Corporate Current,USD,Active,1,1,1,0
ACC000000167,167,Call Account,USD,Restricted,1,1,0,0
ACC000000168,168,Savings,ZWG,Active,1,1,1,1
ACC000000169,169,Current,USD,Active,0,1,1,1
ACC000000170,170,Current,ZWG,Active,1,0,1,0
ACC000000171,171,Call Account,USD,Active,1,0,0,0
ACC000000172,172,USD Nostro,USD,Active,0,1,1,1
ACC000000173,173,Savings,USD,Active,1,0,1,0
ACC000000174,174,Corporate Current,USD,Active,0,1,0,0
ACC000000175,175,Current,USD,Active,1,0,1,0
ACC000000176,176,Current,USD,Active,0,1,1,1
ACC000000177,177,Current,USD,Active,1,1,1,1
ACC000000178,178,Mobile Wallet,USD,Active,1,1,0,0
ACC000000179,179,Call Account,USD,Active,1,1,1,1
ACC000000180,180,Money Market,ZAR,Dormant,1,1,0,1
ACC000000181,181,Money Market,USD,Active,1,0,1,0
ACC000000182,182,Corporate Current,ZWG,Active,1,1,0,1
ACC000000183,183,Money Market,USD,Active,1,1,1,0
ACC000000184,184,Corporate Current,ZWG,Active,1,0,1,0
ACC000000185,185,Mobile Wallet,GBP,Active,1,0,1,0
ACC000000186,186,Corporate Current,USD,Active,1,1,0,1
ACC000000187,187,Current,USD,Active,1,0,0,1
ACC000000188,188,Corporate Current,USD,Dormant,0,1,1,0
ACC000000189,189,Money Market,USD,Restricted,1,1,0,0
ACC000000190,190,Call Account,USD,Active,1,1,1,1
ACC000000191,191,Savings,USD,Active,0,1,1,0
ACC000000192,192,Savings,GBP,Active,1,0,0,0
ACC000000193,193,Mobile Wallet,USD,Active,0,1,0,0
ACC000000194,194,Corporate Current,ZAR,Active,1,0,1,0
ACC000000195,195,USD Nostro,ZWG,Active,1,0,0,0
ACC000000196,196,USD Nostro,ZWG,Active,0,0,1,0
ACC000000197,197,Money Market,USD,Active,1,1,1,1
ACC000000198,198,Savings,USD,Active,0,0,0,0
ACC000000199,199,Savings,USD,Active,1,0,0,0
ACC000000200,200,Corporate Current,USD,Active,1,0,1,0
ACC000000201,201,Current,USD,Active,1,0,1,0
ACC000000202,202,Current,USD,Active,1,1,1,1
ACC000000203,203,Savings,EUR,Active,0,1,1,1
ACC000000204,204,USD Nostro,ZAR,Restricted,1,1,1,0
ACC000000205,205,Current,USD,Active,1,1,1,0
ACC000000206,206,Corporate Current,ZWG,Active,1,0,1,0
ACC000000207,207,Corporate Current,USD,Active,1,1,0,0
ACC000000208,208,Current,USD,Active,1,0,1,0
ACC000000209,209,Corporate Current,USD,Active,1,1,1,0
ACC000000210,210,Call Account,USD,Active,1,0,0,0
ACC000000211,211,Current,USD,Active,1,1,1,1
ACC000000212,212,Call Account,EUR,Active,1,1,1,1
ACC000000213,213,Call Account,ZWG,Active,1,0,0,0
ACC000000214,214,Call Account,ZWG,Active,0,1,0,0
ACC000000215,215,Corporate Current,EUR,Active,0,0,1,1
ACC000000216,216,Mobile Wallet,USD,Active,1,1,1,1
ACC000000217,217,Call Account,ZWG,Active,1,0,1,0
ACC000000218,218,Current,USD,Active,1,1,0,0
ACC000000219,219,Current,USD,Active,1,1,1,0
ACC000000220,220,Current,ZWG,Active,1,0,1,1
ACC000000221,221,Call Account,EUR,Active,1,1,0,0
ACC000000222,222,Savings,ZWG,Active,1,1,1,0
ACC000000223,223,Corporate Current,ZWG,Active,1,1,1,1
ACC000000224,224,Mobile Wallet,ZWG,Active,1,1,0,1
ACC000000225,225,Corporate Current,USD,Active,1,0,1,0
ACC000000226,226,Current,USD,Active,1,0,1,0
ACC000000227,227,Mobile Wallet,ZWG,Restricted,1,1,1,0
ACC000000228,228,Corporate Current,USD,Active,1,1,0,0
ACC000000229,229,Corporate Current,ZWG,Active,1,0,0,0
ACC000000230,230,Mobile Wallet,USD,Active,1,0,1,0
ACC000000231,231,Savings,USD,Active,0,0,1,0
ACC000000232,232,USD Nostro,USD,Active,1,1,1,1
ACC000000233,233,Money Market,USD,Active,0,0,1,1
ACC000000234,234,Current,ZWG,Active,1,1,1,1
ACC000000235,235,Corporate Current,USD,Active,1,1,0,1
ACC000000236,236,Current,ZAR,Active,0,1,1,0
ACC000000237,237,Current,ZAR,Active,1,0,1,1
ACC000000238,238,Current,USD,Active,1,1,1,0
ACC000000239,239,Money Market,USD,Active,1,0,1,1
ACC000000240,240,Mobile Wallet,USD,Active,1,0,1,0
ACC000000241,241,Current,ZWG,Active,1,1,0,1
ACC000000242,242,Current,ZAR,Active,1,1,0,0
ACC000000243,243,USD Nostro,ZWG,Active,1,1,1,0
ACC000000244,244,Current,USD,Active,1,1,1,0
ACC000000245,245,Current,USD,Active,1,0,1,0
ACC000000246,246,Savings,USD,Active,0,1,1,1
ACC000000247,247,Current,GBP,Active,1,0,0,1
ACC000000248,248,Savings,USD,Active,1,0,1,1
ACC000000249,249,Call Account,ZWG,Active,1,0,1,0
ACC000000250,250,Current,USD,Active,1,1,0,0
ACC000000251,251,Savings,USD,Active,1,1,1,1
ACC000000252,252,Current,USD,Active,1,1,0,0
ACC000000253,253,Corporate Current,USD,Active,1,0,1,0
ACC000000254,254,Corporate Current,USD,Active,1,1,1,0
ACC000000255,255,Current,GBP,Active,0,0,1,0
ACC000000256,256,Corporate Current,USD,Active,1,0,1,0
ACC000000257,257,Savings,GBP,Active,1,0,0,0
ACC000000258,258,USD Nostro,ZWG,Active,1,0,1,0
ACC000000259,259,Savings,USD,Active,1,1,0,0
ACC000000260,260,Corporate Current,ZWG,Dormant,0,1,0,1
ACC000000261,261,Current,EUR,Active,1,0,1,0
ACC000000262,262,USD Nostro,GBP,Dormant,1,0,1,1
ACC000000263,263,Savings,USD,Active,1,1,1,0
ACC000000264,264,Savings,ZWG,Active,1,1,1,1
ACC000000265,265,Mobile Wallet,ZWG,Active,1,1,1,1
ACC000000266,266,Corporate Current,USD,Active,1,1,1,0
ACC000000267,267,Savings,USD,Active,1,1,1,1
ACC000000268,268,Money Market,ZWG,Active,1,0,1,1
ACC000000269,269,Savings,USD,Active,0,1,0,0
ACC000000270,270,Corporate Current,USD,Active,1,1,1,0
ACC000000271,271,Savings,USD,Active,0,0,1,0
ACC000000272,272,Corporate Current,USD,Active,1,1,1,0
ACC000000273,273,Savings,USD,Active,1,0,1,0
ACC000000274,274,USD Nostro,USD,Active,1,1,1,0
ACC000000275,275,Corporate Current,USD,Active,1,1,1,0
ACC000000276,276,Money Market,ZAR,Active,1,0,1,0
ACC000000277,277,Current,USD,Active,1,0,1,0
ACC000000278,278,Savings,USD,Active,1,1,0,1
ACC000000279,279,USD Nostro,USD,Active,1,0,0,0
ACC000000280,280,USD Nostro,ZAR,Active,1,1,1,0
ACC000000281,281,Savings,USD,Dormant,1,1,1,0
ACC000000282,282,Corporate Current,USD,Active,1,0,1,1
ACC000000283,283,Call Account,ZWG,Dormant,1,0,1,0
ACC000000284,284,Mobile Wallet,USD,Active,0,0,1,0
ACC000000285,285,Current,USD,Active,1,0,1,0
ACC000000286,286,Mobile Wallet,USD,Active,1,1,1,0
ACC000000287,287,USD Nostro,USD,Active,1,1,1,0
ACC000000288,288,Corporate Current,USD,Active,1,0,1,0
ACC000000289,289,Current,ZWG,Active,1,0,1,0
ACC000000290,290,Mobile Wallet,USD,Dormant,1,1,1,0
ACC000000291,291,Savings,USD,Active,1,1,0,1
ACC000000292,292,Current,USD,Active,1,1,0,0
ACC000000293,293,Savings,ZWG,Active,1,1,1,0
ACC000000294,294,Current,EUR,Active,1,0,1,1
ACC000000295,295,Savings,USD,Dormant,1,1,0,1
ACC000000296,296,Savings,USD,Active,1,0,0,0
ACC000000297,297,Savings,USD,Dormant,0,1,1,1
ACC000000298,298,Call Account,ZAR,Active,1,0,1,0
ACC000000299,299,USD Nostro,ZWG,Active,1,1,1,0
ACC000000300,300,Savings,USD,Active,1,1,1,0
ACC000000301,301,Current,USD,Active,1,0,1,0
ACC000000302,302,Current,ZWG,Active,0,1,0,0
ACC000000303,303,Corporate Current,ZAR,Active,1,1,1,0
ACC000000304,304,Mobile Wallet,USD,Active,1,1,1,1
ACC000000305,305,Corporate Current,USD,Active,1,1,0,1
ACC000000306,306,Mobile Wallet,USD,Active,1,1,1,1
ACC000000307,307,Savings,ZWG,Active,1,0,1,0
ACC000000308,308,Savings,ZWG,Active,1,1,0,0
ACC000000309,309,Corporate Current,ZAR,Active,1,0,1,0
ACC000000310,310,USD Nostro,ZWG,Active,0,0,1,0
ACC000000311,311,USD Nostro,USD,Dormant,0,1,0,0
ACC000000312,312,USD Nostro,USD,Active,1,1,1,0
ACC000000313,313,Corporate Current,ZWG,Active,1,0,1,0
ACC000000314,314,Corporate Current,USD,Active,1,0,1,1
ACC000000315,315,Current,EUR,Active,1,1,1,1
ACC000000316,316,Mobile Wallet,USD,Active,1,0,0,0
ACC000000317,317,Savings,USD,Active,0,0,1,1
ACC000000318,318,Savings,USD,Active,1,1,0,0
ACC000000319,319,Corporate Current,ZWG,Active,1,0,1,0
ACC000000320,320,Mobile Wallet,USD,Active,1,1,1,0
ACC000000321,321,Call Account,USD,Active,1,0,1,0
ACC000000322,322,Savings,ZWG,Active,1,0,0,1
ACC000000323,323,Savings,ZWG,Active,0,1,0,1
ACC000000324,324,Current,USD,Active,1,1,1,0
ACC000000325,325,Corporate Current,USD,Active,0,1,1,0
ACC000000326,326,Mobile Wallet,USD,Active,0,0,1,1
ACC000000327,327,Corporate Current,USD,Active,1,1,1,0
ACC000000328,328,Savings,ZAR,Active,0,0,0,0
ACC000000329,329,Corporate Current,USD,Active,1,0,1,0
ACC000000330,330,Current,ZWG,Dormant,1,1,1,0
ACC000000331,331,USD Nostro,ZWG,Active,1,0,1,1
ACC000000332,332,Money Market,USD,Active,1,1,1,0
ACC000000333,333,Current,USD,Active,0,0,1,0
ACC000000334,334,Corporate Current,USD,Active,1,1,1,1
ACC000000335,335,Savings,USD,Active,1,0,0,0
ACC000000336,336,Mobile Wallet,ZWG,Active,1,0,1,0
ACC000000337,337,Current,USD,Active,1,1,1,1
ACC000000338,338,Money Market,USD,Active,1,0,1,1
ACC000000339,339,USD Nostro,ZWG,Active,1,0,1,0
ACC000000340,340,Mobile Wallet,ZWG,Active,1,1,1,0
ACC000000341,341,USD Nostro,USD,Active,1,1,1,0
ACC000000342,342,Mobile Wallet,USD,Restricted,1,1,0,0
ACC000000343,343,USD Nostro,USD,Active,0,1,1,0
ACC000000344,344,Mobile Wallet,USD,Active,1,0,0,0
ACC000000345,345,Current,USD,Active,0,1,1,1
ACC000000346,346,Mobile Wallet,USD,Dormant,0,1,1,0
ACC000000347,347,Corporate Current,USD,Active,1,1,1,0
ACC000000348,348,Mobile Wallet,USD,Active,0,1,0,1
ACC000000349,349,Mobile Wallet,USD,Dormant,1,1,1,0
ACC000000350,350,Current,GBP,Active,1,1,0,0
ACC000000351,351,Current,USD,Active,1,0,0,0
ACC000000352,352,Corporate Current,ZAR,Active,1,0,1,0
ACC000000353,353,Corporate Current,EUR,Active,0,1,1,0
ACC000000354,354,Savings,USD,Active,1,1,1,0
ACC000000355,355,Money Market,USD,Active,0,1,0,1
ACC000000356,356,Current,GBP,Active,1,1,1,1
ACC000000357,357,Call Account,USD,Dormant,1,1,1,0
ACC000000358,358,USD Nostro,EUR,Active,1,0,1,0
ACC000000359,359,Corporate Current,ZWG,Active,1,1,0,0
ACC000000360,360,Mobile Wallet,USD,Active,1,1,1,1
ACC000000361,361,Money Market,USD,Active,1,1,1,0
ACC000000362,362,USD Nostro,USD,Active,1,1,1,0
ACC000000363,363,Current,ZAR,Dormant,1,1,0,0
ACC000000364,364,Savings,USD,Active,1,1,1,0
ACC000000365,365,Savings,USD,Active,1,1,1,0
ACC000000366,366,USD Nostro,USD,Active,1,1,1,0
ACC000000367,367,Mobile Wallet,USD,Active,1,1,1,0
ACC000000368,368,Current,ZAR,Active,1,1,0,0
ACC000000369,369,Current,GBP,Active,0,1,1,1
ACC000000370,370,Corporate Current,USD,Active,1,1,0,0
ACC000000371,371,USD Nostro,USD,Active,1,1,0,1
ACC000000372,372,Call Account,ZWG,Dormant,1,1,1,0
ACC000000373,373,Corporate Current,ZAR,Active,0,1,1,0
ACC000000374,374,Current,ZWG,Active,1,0,1,1
ACC000000375,375,Current,USD,Active,0,0,1,0
ACC000000376,376,Current,USD,Active,1,0,1,0
ACC000000377,377,Mobile Wallet,USD,Active,1,1,1,1
ACC000000378,378,Current,EUR,Active,1,0,1,1
ACC000000379,379,Corporate Current,USD,Dormant,1,1,1,1
ACC000000380,380,Corporate Current,ZWG,Active,1,1,1,0
ACC000000381,381,Current,GBP,Active,1,1,1,1
ACC000000382,382,Corporate Current,USD,Active,1,1,1,0
ACC000000383,383,Money Market,USD,Active,1,1,0,0
ACC000000384,384,Mobile Wallet,ZWG,Active,1,1,0,0
ACC000000385,385,Savings,ZAR,Active,1,0,1,0
ACC000000386,386,USD Nostro,ZWG,Active,1,1,1,1
ACC000000387,387,Call Account,GBP,Active,1,1,1,0
ACC000000388,388,Savings,EUR,Active,1,1,1,0
ACC000000389,389,USD Nostro,USD,Active,1,1,1,0
ACC000000390,390,Savings,USD,Active,1,1,0,0
ACC000000391,391,Money Market,USD,Active,1,0,1,0
ACC000000392,392,Corporate Current,ZWG,Active,1,1,1,1
ACC000000393,393,Savings,USD,Active,1,1,1,1
ACC000000394,394,USD Nostro,USD,Active,1,0,1,1
ACC000000395,395,Corporate Current,USD,Active,1,1,1,0
ACC000000396,396,Corporate Current,USD,Active,1,1,1,0
ACC000000397,397,Call Account,ZAR,Active,1,1,0,0
ACC000000398,398,Current,USD,Active,1,1,1,0
ACC000000399,399,Corporate Current,USD,Active,1,0,1,0
ACC000000400,400,Money Market,USD,Active,1,1,0,1
ACC000000401,401,Savings,GBP,Active,1,1,1,0
ACC000000402,402,Money Market,ZAR,Active,1,1,1,1
ACC000000403,403,Corporate Current,USD,Active,1,0,1,1
ACC000000404,404,Savings,ZWG,Active,0,1,1,0
ACC000000405,405,USD Nostro,GBP,Active,1,0,1,1
ACC000000406,406,Current,USD,Active,1,0,0,1
ACC000000407,407,Money Market,USD,Active,1,1,1,0
ACC000000408,408,Corporate Current,ZWG,Active,1,0,0,1
ACC000000409,409,Money Market,USD,Dormant,1,1,0,0
ACC000000410,410,Money Market,USD,Active,0,0,1,0
ACC000000411,411,Mobile Wallet,USD,Active,1,1,0,0
ACC000000412,412,USD Nostro,ZAR,Active,1,1,1,1
ACC000000413,413,Money Market,USD,Active,1,1,1,1
ACC000000414,414,Call Account,USD,Active,1,0,1,0
ACC000000415,415,USD Nostro,USD,Active,1,1,1,0
ACC000000416,416,USD Nostro,USD,Active,1,1,0,0
ACC000000417,417,Money Market,USD,Active,0,0,0,0
ACC000000418,418,USD Nostro,GBP,Dormant,0,1,1,1
ACC000000419,419,Corporate Current,USD,Dormant,1,0,1,0
ACC000000420,420,Current,USD,Active,0,1,1,1
ACC000000421,421,Current,USD,Active,0,0,1,0
ACC000000422,422,Call Account,ZWG,Active,1,1,1,0
ACC000000423,423,Savings,USD,Active,1,1,1,0
ACC000000424,424,Money Market,USD,Active,1,1,1,0
ACC000000425,425,Call Account,ZWG,Active,1,0,1,0
ACC000000426,426,Money Market,EUR,Active,1,0,1,0
ACC000000427,427,USD Nostro,USD,Active,0,0,1,0
ACC000000428,428,USD Nostro,USD,Active,1,0,1,0
ACC000000429,429,Call Account,USD,Active,1,1,1,1
ACC000000430,430,Call Account,USD,Active,1,1,1,0
ACC000000431,431,Money Market,USD,Active,1,1,1,1
ACC000000432,432,Corporate Current,ZAR,Active,1,1,1,1
ACC000000433,433,Corporate Current,USD,Active,1,1,1,0
ACC000000434,434,Current,USD,Dormant,0,0,1,0
ACC000000435,435,Mobile Wallet,USD,Active,1,1,1,0
ACC000000436,436,Savings,USD,Active,1,1,0,0
ACC000000437,437,Mobile Wallet,EUR,Active,1,1,1,0
ACC000000438,438,Current,GBP,Active,0,1,0,0
ACC000000439,439,Call Account,USD,Active,1,1,1,0
ACC000000440,440,Current,USD,Active,0,0,0,0
ACC000000441,441,Mobile Wallet,ZWG,Active,1,1,1,0
ACC000000442,442,Current,USD,Active,0,1,1,0
ACC000000443,443,Mobile Wallet,USD,Active,1,0,1,1
ACC000000444,444,Mobile Wallet,EUR,Active,1,1,1,1
ACC000000445,445,Call Account,EUR,Active,1,0,1,0
ACC000000446,446,USD Nostro,USD,Active,1,1,1,1
ACC000000447,447,Savings,GBP,Active,1,1,1,0
ACC000000448,448,Savings,ZWG,Active,0,1,1,0
ACC000000449,449,Current,GBP,Active,1,1,0,0
ACC000000450,450,Current,USD,Active,1,1,1,0
ACC000000451,451,Savings,EUR,Active,1,1,1,1
ACC000000452,452,Savings,USD,Active,1,1,0,1
ACC000000453,453,Call Account,USD,Active,1,1,0,0
ACC000000454,454,Savings,ZWG,Active,1,1,1,0
ACC000000455,455,Savings,ZWG,Active,0,1,1,0
ACC000000456,456,Current,ZAR,Active,1,1,1,0
ACC000000457,457,Savings,USD,Active,1,1,1,0
ACC000000458,458,Call Account,ZWG,Active,1,1,1,0
ACC000000459,459,Call Account,EUR,Active,1,1,1,1
ACC000000460,460,Corporate Current,GBP,Active,1,0,0,0
ACC000000461,461,Call Account,ZWG,Dormant,1,1,0,1
ACC000000462,462,Corporate Current,USD,Active,1,1,1,0
ACC000000463,463,Money Market,USD,Active,0,1,1,1
ACC000000464,464,Corporate Current,USD,Active,1,1,1,0
ACC000000465,465,Current,USD,Active,0,1,1,1
ACC000000466,466,Corporate Current,USD,Active,0,1,1,1
ACC000000467,467,USD Nostro,USD,Active,1,1,0,1
ACC000000468,468,Current,USD,Active,1,0,0,1
ACC000000469,469,Corporate Current,ZAR,Active,0,0,1,0
ACC000000470,470,Savings,ZAR,Active,1,0,1,0
ACC000000471,471,Corporate Current,USD,Active,0,1,0,0
ACC000000472,472,Money Market,USD,Restricted,1,1,1,0
