link_id,customer_id_1,customer_id_2,link_type,link_strength
CL00000222,35868,46511,shared_phone,0.813
CL00000223,654,21020,shared_address,0.665
CL00000224,19040,46847,shared_beneficial_owner,0.897
CL00000225,44068,44321,shared_beneficial_owner,0.633
CL00000226,4845,35695,shared_director,0.951
CL00000227,32675,10499,shared_phone,0.418
CL00000228,47303,9341,shared_director,0.69
CL00000229,13137,38266,shared_address,0.762
CL00000230,15327,17649,shared_director,0.719
CL00000231,21363,16697,shared_director,0.404
CL00000232,32201,1163,shared_beneficial_owner,0.73
CL00000233,46515,746,shared_beneficial_owner,0.764
CL00000234,45739,26506,shared_phone,0.951
CL00000235,42520,6802,shared_beneficial_owner,0.965
CL00000236,22509,46808,shared_phone,0.565
CL00000237,8778,837,shared_phone,0.816
CL00000238,23136,8621,shared_director,0.859
CL00000239,32270,13439,shared_director,0.933
CL00000240,42734,28914,shared_phone,0.812
CL00000241,46299,17495,shared_beneficial_owner,0.952
CL00000242,47740,23435,shared_director,0.922
CL00000243,22231,31267,related_party,0.765
CL00000244,37456,19616,related_party,0.986
CL00000245,18275,11564,shared_director,0.677
CL00000246,1758,6555,shared_beneficial_owner,0.485
CL00000247,42230,28770,shared_address,0.758
CL00000248,13334,34453,shared_beneficial_owner,0.614
CL00000249,40359,8352,shared_director,0.886
CL00000250,13701,46374,related_party,0.603
CL00000251,17156,26313,shared_address,0.772
CL00000252,44555,41688,shared_beneficial_owner,0.581
CL00000253,21716,38618,shared_phone,0.478
CL00000254,33438,21722,shared_beneficial_owner,0.833
CL00000255,45471,40052,shared_director,0.625
CL00000256,43090,34476,shared_phone,0.596
CL00000257,37138,4000,shared_director,0.587
CL00000258,44575,35779,shared_address,0.99
CL00000259,19894,31231,shared_phone,0.562
CL00000260,22013,27221,shared_address,0.612
CL00000261,37591,48310,shared_director,0.773
CL00000262,42369,49620,related_party,0.889
CL00000263,19138,8569,shared_beneficial_owner,0.463
CL00000264,25326,23266,related_party,0.48
CL00000265,12076,36331,shared_director,0.938
CL00000266,12627,11237,shared_address,0.695
CL00000267,35785,33278,shared_director,0.978
CL00000268,34144,1587,shared_address,0.903
CL00000269,25997,15019,shared_director,0.649
CL00000270,2641,12337,related_party,0.474
CL00000271,16186,34167,shared_beneficial_owner,0.776
CL00000272,45074,1661,shared_address,0.62
CL00000273,8332,46429,shared_director,0.889
CL00000274,47268,41197,shared_address,0.933
CL00000275,42939,44684,shared_phone,0.479
CL00000276,3390,16392,shared_director,0.414
CL00000277,49723,37198,shared_address,0.885
CL00000278,2704,19042,shared_phone,0.702
CL00000279,8011,18498,shared_address,0.773
CL00000280,39695,20746,shared_director,0.53
CL00000281,33977,11328,shared_beneficial_owner,0.729
CL00000282,45770,4708,shared_phone,0.751
CL00000283,7191,16023,shared_director,0.987
CL00000284,34681,48442,shared_phone,0.618
CL00000285,18178,15023,shared_beneficial_owner,0.892
CL00000286,28217,23686,shared_beneficial_owner,0.826
CL00000287,5373,22567,shared_beneficial_owner,0.984
CL00000288,34199,39256,shared_director,0.65
CL00000289,42458,12441,shared_beneficial_owner,0.814
CL00000290,36544,9756,shared_phone,0.568
CL00000291,10476,20846,shared_beneficial_owner,0.972
CL00000292,37801,37428,shared_director,0.738
CL00000293,36973,19290,shared_beneficial_owner,0.787
CL00000294,43078,46807,shared_beneficial_owner,0.765
CL00000295,10121,8855,shared_phone,0.475
CL00000296,28286,46958,shared_director,0.516
CL00000297,41909,27473,shared_director,0.795
CL00000298,37517,47974,shared_director,0.951
CL00000299,7490,2946,shared_phone,0.679
CL00000300,26219,11083,shared_address,0.939
CL00000301,9060,3473,related_party,0.558
CL00000302,24833,20585,related_party,0.696
CL00000303,39126,36798,related_party,0.75
CL00000304,22426,7763,shared_phone,0.911
CL00000305,33066,19465,shared_director,0.88
CL00000306,8625,31005,shared_address,0.518
CL00000307,24106,32743,shared_director,0.884
CL00000308,23594,13232,shared_phone,0.712
CL00000309,16979,24062,shared_phone,0.984
CL00000310,49078,36974,shared_phone,0.571
CL00000311,36163,20010,shared_beneficial_owner,0.458
CL00000312,11753,5827,shared_beneficial_owner,0.471
CL00000313,19298,1195,shared_beneficial_owner,0.657
CL00000314,31375,37596,shared_phone,0.644
CL00000315,7090,27320,shared_beneficial_owner,0.579
CL00000316,5737,3310,shared_beneficial_owner,0.709
CL00000317,16556,6127,shared_director,0.93
CL00000318,39913,46078,shared_beneficial_owner,0.447
CL00000319,21625,33584,shared_director,0.954
CL00000320,20661,44151,shared_phone,0.738
CL00000321,20768,25957,shared_address,0.448
CL00000322,4330,43619,shared_director,0.943
CL00000323,26007,35425,shared_address,0.968
CL00000324,9918,30847,shared_phone,0.558
CL00000325,12801,28679,shared_beneficial_owner,0.593
CL00000326,25741,29221,shared_address,0.894
CL00000327,9132,36684,shared_director,0.527
CL00000328,13135,10330,shared_address,0.909
CL00000329,22705,46487,shared_phone,0.516
CL00000330,40126,38823,shared_address,0.63
CL00000331,9051,20904,shared_phone,0.713
CL00000332,47520,45591,shared_phone,0.884
CL00000333,15419,34343,related_party,0.704
CL00000334,18831,27685,shared_director,0.665
CL00000335,29662,17664,shared_address,0.766
CL00000336,43732,7797,shared_director,0.408
CL00000337,17877,47268,shared_beneficial_owner,0.943
CL00000338,48001,34601,shared_address,0.759
CL00000339,34340,41357,shared_address,0.745
CL00000340,31686,21714,related_party,0.55
CL00000341,44710,24624,related_party,0.55
CL00000342,8239,10114,shared_address,0.415
CL00000343,23095,15754,shared_beneficial_owner,0.916
CL00000344,17561,37278,shared_director,0.634
CL00000345,41425,26914,shared_director,0.961
CL00000346,5235,18484,shared_address,0.537
CL00000347,8425,37046,related_party,0.596
CL00000348,3158,7444,shared_phone,0.603
CL00000349,48465,5441,shared_phone,0.912
CL00000350,28223,48294,shared_beneficial_owner,0.923
CL00000351,28283,6270,shared_beneficial_owner,0.409
CL00000352,31576,47632,shared_beneficial_owner,0.633
CL00000353,22602,20878,related_party,0.429
CL00000354,17492,27656,shared_director,0.551
CL00000355,35065,45296,shared_address,0.851
CL00000356,23757,2227,shared_address,0.813
CL00000357,26590,45185,shared_director,0.614
CL00000358,7146,22587,shared_director,0.572
CL00000359,26618,20514,shared_phone,0.555
CL00000360,40567,10962,related_party,0.527
CL00000361,1670,15515,shared_director,0.979
CL00000362,34207,541,shared_director,0.464
CL00000363,43078,40359,shared_address,0.896
CL00000364,30808,11884,related_party,0.771
CL00000365,29555,2519,shared_director,0.567
CL00000366,27220,30698,shared_beneficial_owner,0.52
CL00000367,18522,9801,shared_beneficial_owner,0.543
CL00000368,17663,12640,shared_director,0.97
CL00000369,22595,19336,shared_beneficial_owner,0.708
CL00000370,17280,27682,shared_phone,0.746
CL00000371,25848,48557,shared_director,0.497
CL00000372,24644,41005,shared_beneficial_owner,0.784
CL00000373,24566,24102,shared_director,0.644
CL00000374,12315,30417,shared_phone,0.743
CL00000375,2550,15839,shared_phone,0.68
CL00000376,13143,7538,shared_beneficial_owner,0.674
CL00000377,22104,37175,shared_director,0.554
CL00000378,29564,4104,shared_address,0.685
CL00000379,36030,31183,shared_beneficial_owner,0.839
CL00000380,12581,7938,shared_beneficial_owner,0.783
CL00000381,9910,36519,shared_director,0.66
CL00000382,25469,33445,shared_address,0.88
CL00000383,38610,14537,shared_phone,0.536
CL00000384,23132,11116,shared_phone,0.85
CL00000385,29058,5220,shared_phone,0.691
CL00000386,48956,46610,shared_director,0.88
CL00000387,20503,28018,shared_phone,0.786
CL00000388,741,22834,shared_phone,0.621
CL00000389,19714,2641,shared_address,0.405
CL00000390,11245,14835,shared_phone,0.911
CL00000391,9982,21304,shared_director,0.845
CL00000392,35745,12177,related_party,0.413
CL00000393,40561,15519,shared_phone,0.552
CL00000394,39874,18836,shared_address,0.786
CL00000395,17670,26474,shared_director,0.761
CL00000396,13495,21090,shared_address,0.53
CL00000397,49468,32728,shared_beneficial_owner,0.94
CL00000398,32590,37741,shared_address,0.483
CL00000399,6658,46902,shared_phone,0.938
CL00000400,37562,19915,shared_director,0.549
CL00000401,20223,48408,related_party,0.941
CL00000402,36778,27923,shared_director,0.716
CL00000403,5316,34144,shared_director,0.988
CL00000404,17110,9165,related_party,0.831
CL00000405,2539,27197,shared_address,0.744
CL00000406,10151,8040,shared_beneficial_owner,0.927
CL00000407,24802,42788,shared_beneficial_owner,0.45
CL00000408,48412,23896,shared_address,0.916
CL00000409,23877,18522,related_party,0.739
CL00000410,29922,34758,shared_beneficial_owner,0.73
CL00000411,9834,5719,shared_beneficial_owner,0.792
CL00000412,42494,39512,shared_director,0.962
CL00000413,23264,19252,related_party,0.791
CL00000414,20628,34213,shared_phone,0.998
CL00000415,14252,42282,shared_beneficial_owner,0.599
CL00000416,8036,25741,shared_address,0.515
CL00000417,13640,32844,shared_beneficial_owner,0.586
CL00000418,3755,27923,shared_director,0.766
CL00000419,27294,46235,shared_address,0.595
CL00000420,12849,33279,shared_address,0.853
CL00000421,2576,36030,shared_director,0.905
CL00000422,5059,33203,shared_phone,0.602
CL00000423,2510,21895,shared_address,0.889
CL00000424,8213,14534,shared_address,0.972
CL00000425,11155,45128,shared_director,0.907
CL00000426,45036,7960,shared_phone,0.748
CL00000427,4154,21125,shared_phone,0.916
CL00000428,43579,42905,shared_phone,0.735
CL00000429,10390,33546,shared_beneficial_owner,0.494
CL00000430,3383,46760,shared_address,0.962
CL00000431,29321,16722,shared_director,0.416
CL00000432,10680,48676,shared_address,0.725
CL00000433,22756,11436,shared_phone,0.994
CL00000434,17287,29902,shared_phone,0.963
CL00000435,49226,14326,shared_address,0.636
CL00000436,35404,7591,shared_director,0.552
CL00000437,21356,27914,shared_beneficial_owner,0.806
CL00000438,14593,3497,shared_director,0.562
CL00000439,32994,31743,shared_phone,0.917
CL00000440,34605,22403,shared_beneficial_owner,0.66
CL00000441,25248,7236,shared_beneficial_owner,0.782
CL00000442,10230,6475,shared_director,0.673
CL00000443,3294,15633,shared_director,0.529
CL00000444,11223,8180,shared_director,0.453
CL00000445,21388,34916,shared_phone,0.462
CL00000446,49313,8131,shared_director,0.599
CL00000447,1952,41345,shared_beneficial_owner,0.675
CL00000448,41633,2937,shared_address,0.749
CL00000449,15331,44241,shared_director,0.606
CL00000450,46317,23991,shared_beneficial_owner,0.949
CL00000451,6193,38482,related_party,0.914
CL00000452,20091,45308,shared_address,0.605
CL00000453,32171,27291,shared_director,0.804
CL00000454,30307,30735,shared_director,0.964
CL00000455,20765,33475,shared_address,0.711
CL00000456,20767,29159,shared_beneficial_owner,0.787
CL00000457,26097,12353,shared_beneficial_owner,0.449
CL00000458,13947,15616,shared_director,0.921
CL00000459,5808,20797,shared_address,0.803
CL00000460,31251,13079,shared_director,0.492
CL00000461,47275,27543,shared_phone,0.462
CL00000462,8017,10550,shared_address,0.962
CL00000463,34154,24131,shared_address,0.522
CL00000464,38373,32757,shared_address,0.682
CL00000465,41968,10116,shared_director,0.474
CL00000466,47859,49046,shared_beneficial_owner,0.676
CL00000467,32425,14684,shared_director,0.713
CL00000468,1361,35814,shared_beneficial_owner,0.63
CL00000469,28212,33573,shared_address,0.561
CL00000470,9515,2489,shared_beneficial_owner,0.8
CL00000471,49284,32594,shared_address,0.929
CL00000472,10805,49003,shared_address,0.407
CL00000473,42581,15660,shared_phone,0.525
CL00000474,19474,26797,shared_beneficial_owner,0.71
CL00000475,44527,40257,shared_director,0.461
CL00000476,5671,1326,shared_director,0.451
CL00000477,21925,38506,shared_director,0.904
CL00000478,36486,46808,related_party,0.855
CL00000479,47492,18282,shared_beneficial_owner,0.675
CL00000480,19605,32270,shared_director,0.685
CL00000481,8787,47720,shared_address,0.858
CL00000482,44835,32642,related_party,0.74
CL00000483,41239,27914,shared_address,0.722
CL00000484,6405,39693,shared_beneficial_owner,0.48
CL00000485,25309,3357,related_party,0.87
CL00000486,14286,45154,shared_address,0.9
CL00000487,49102,35131,related_party,0.921
CL00000488,15160,22877,shared_director,0.511
CL00000489,29928,49148,shared_director,0.425
CL00000490,21213,49148,shared_director,0.752
CL00000491,23802,40477,shared_beneficial_owner,0.529
CL00000492,21496,37016,related_party,0.98
CL00000493,107,45326,shared_phone,0.949
CL00000494,3782,82,shared_address,0.606
CL00000495,11333,37150,shared_director,0.876
CL00000496,27088,16769,shared_address,0.899
CL00000497,34011,46232,shared_director,0.855
CL00000498,32098,12424,shared_director,0.943
CL00000499,7440,16503,shared_beneficial_owner,0.472
CL00000500,37129,4604,shared_beneficial_owner,0.505
CL00000501,29445,45053,shared_phone,0.919
CL00000502,34467,19133,shared_director,0.986
CL00000503,22403,43128,related_party,0.728
CL00000504,34098,13167,shared_beneficial_owner,0.969
CL00000505,31433,34081,shared_phone,0.57
CL00000506,40252,15017,shared_director,0.452
CL00000507,34044,40647,shared_director,0.801
CL00000508,41561,45323,shared_phone,0.711
CL00000509,49284,23876,shared_address,0.751
CL00000510,16500,978,shared_director,0.464
CL00000511,798,12575,shared_beneficial_owner,0.939
CL00000512,26854,28011,shared_phone,0.517
CL00000513,43883,47904,shared_beneficial_owner,0.907
CL00000514,14555,31759,shared_beneficial_owner,0.531
CL00000515,38845,29845,shared_address,0.807
CL00000516,25554,17843,shared_phone,0.966
CL00000517,8158,42066,shared_phone,0.92
CL00000518,8936,42457,shared_phone,0.712
CL00000519,1493,12730,shared_director,0.64
CL00000520,12660,33973,shared_phone,0.687
CL00000521,27363,27257,shared_director,0.644
CL00000522,2141,38191,shared_beneficial_owner,0.875
CL00000523,32067,15594,shared_beneficial_owner,0.631
CL00000524,4858,9904,shared_address,0.969
CL00000525,45552,13149,shared_phone,0.408
CL00000526,7560,27023,shared_beneficial_owner,0.811
CL00000527,36383,15028,shared_address,0.478
CL00000528,3630,48190,shared_beneficial_owner,0.599
CL00000529,2519,5405,shared_phone,0.819
CL00000530,12094,7583,shared_phone,0.76
CL00000531,18476,1106,shared_beneficial_owner,0.554
CL00000532,30093,14422,related_party,0.796
CL00000533,37454,2097,shared_phone,0.605
CL00000534,2997,3711,shared_beneficial_owner,0.523
CL00000535,25848,26283,shared_beneficial_owner,0.847
CL00000536,39704,8239,related_party,0.561
CL00000537,13439,13003,shared_beneficial_owner,0.753
CL00000538,26751,40649,shared_director,0.508
CL00000539,24545,29708,shared_director,0.577
CL00000540,47395,7331,shared_director,0.58
CL00000541,47667,4898,shared_beneficial_owner,0.481
CL00000542,4592,3116,shared_beneficial_owner,0.53
CL00000543,37708,39391,shared_director,0.664
CL00000544,41543,32116,shared_director,0.546
CL00000545,11746,37263,shared_beneficial_owner,0.455
CL00000546,4691,2783,shared_beneficial_owner,0.784
CL00000547,14609,47344,shared_phone,0.467
CL00000548,31284,44859,shared_director,0.459
CL00000549,37306,13408,shared_director,0.839
CL00000550,23803,38733,shared_director,0.792
CL00000551,38015,40931,shared_address,0.927
CL00000552,8256,28554,shared_director,0.848
CL00000553,1001,36682,shared_director,0.954
CL00000554,21080,40229,shared_beneficial_owner,0.627
CL00000555,41320,16472,shared_director,0.68
CL00000556,28410,4488,shared_address,0.919
CL00000557,16612,11382,shared_director,0.79
CL00000558,48371,29932,related_party,0.522
CL00000559,10591,23032,shared_beneficial_owner,0.659
CL00000560,7432,30470,shared_address,0.451
CL00000561,44,25381,related_party,0.897
CL00000562,27995,4684,shared_beneficial_owner,0.407
CL00000563,6093,4203,shared_phone,0.405
CL00000564,20516,31388,shared_director,0.513
CL00000565,33448,42683,shared_beneficial_owner,0.932
CL00000566,48040,31440,related_party,0.554
CL00000567,7591,20297,shared_director,0.967
CL00000568,8125,42238,shared_address,0.743
CL00000569,25,5196,shared_director,0.799
CL00000570,34816,20208,shared_address,0.87
CL00000571,1321,20519,shared_director,0.436
CL00000572,44615,43425,shared_director,0.703
CL00000573,26601,4545,shared_beneficial_owner,0.858
CL00000574,24866,43105,shared_address,0.463
CL00000575,39451,11871,shared_phone,0.95
CL00000576,35212,34403,related_party,0.89
CL00000577,15710,31140,shared_beneficial_owner,0.733
CL00000578,32743,12251,related_party,0.686
CL00000579,37843,28969,shared_address,0.85
CL00000580,16549,38976,shared_address,0.961
CL00000581,1361,14739,shared_beneficial_owner,0.582
CL00000582,38688,12836,shared_beneficial_owner,0.95
CL00000583,32956,2481,shared_beneficial_owner,0.855
CL00000584,46754,14018,shared_address,0.632
CL00000585,30610,35182,related_party,0.969
CL00000586,16663,8171,shared_address,0.485
CL00000587,28568,27671,shared_director,0.694
CL00000588,20768,48574,shared_address,0.985
CL00000589,22906,1072,shared_phone,0.553
CL00000590,46204,46075,shared_beneficial_owner,0.896
CL00000591,24113,23851,shared_beneficial_owner,0.719
CL00000592,38690,42999,shared_beneficial_owner,0.967
CL00000593,39328,33667,shared_phone,0.699
CL00000594,12574,24336,shared_director,0.845
CL00000595,12707,20858,shared_phone,0.574
CL00000596,2546,36100,shared_beneficial_owner,0.684
CL00000597,26292,22579,shared_beneficial_owner,0.965
CL00000598,9600,19756,shared_director,0.452
CL00000599,29464,8774,shared_director,0.562
CL00000600,34422,16897,shared_beneficial_owner,0.51
CL00000601,49082,71,related_party,0.53
CL00000602,26920,48670,shared_director,0.906
CL00000603,13262,34084,shared_beneficial_owner,0.659
CL00000604,35006,13323,shared_beneficial_owner,0.683
CL00000605,41352,39207,shared_address,0.539
CL00000606,3790,21739,shared_director,0.504
CL00000607,33278,23841,shared_address,0.435
CL00000608,28760,6487,shared_director,0.973
CL00000609,23382,6306,shared_phone,0.532
CL00000610,15459,21623,shared_phone,0.464
CL00000611,23460,35100,shared_address,0.594
CL00000612,28843,20922,shared_director,0.918
CL00000613,42463,10550,shared_address,0.468
CL00000614,48348,44584,shared_address,0.812
CL00000615,20814,45625,shared_address,0.6
CL00000616,773,289,shared_address,0.539
CL00000617,33311,8173,shared_director,0.733
CL00000618,47275,47091,shared_director,0.944
CL00000619,34754,23761,shared_address,0.48
CL00000620,8941,1615,shared_address,0.959
