tbml_id,customer_id,invoice_value,declared_value,invoice_deviation_ratio,over_invoicing_flag,under_invoicing_flag,trade_goods_category,origin_country,destination_country,high_risk_country_flag
TBML00000036,40140,25000.0,13997.3,0.559892,0,1,Vehicles,India,Kenya,0
TBML00000037,25953,100000.0,71273.77,0.712738,0,1,Machinery,United Arab Emirates,United Kingdom,1
TBML00000038,11275,250000.0,261321.35,1.045285,0,0,Vehicles,China,United Kingdom,1
TBML00000039,5872,10000.0,11088.47,1.108847,0,0,Machinery,South Africa,United Arab Emirates,1
TBML00000040,19659,100000.0,133839.28,1.338393,1,0,Textiles,United Kingdom,Mauritius,1
TBML00000041,22526,25000.0,30313.97,1.212559,1,0,Machinery,South Africa,China,1
TBML00000042,20907,250000.0,167355.04,0.66942,0,1,Fuel,China,Mozambique,1
TBML00000043,43358,100000.0,78760.71,0.787607,0,1,Electronics,India,Mauritius,1
TBML00000044,25086,25000.0,16099.47,0.643979,0,1,Machinery,South Africa,United Kingdom,1
TBML00000045,47129,100000.0,119251.35,1.192513,0,0,Textiles,South Africa,Botswana,0
TBML00000046,6293,25000.0,21411.76,0.85647,0,0,Chemicals,China,Mauritius,1
TBML00000047,11429,100000.0,61880.34,0.618803,0,1,Machinery,United Kingdom,Mauritius,1
TBML00000048,33021,25000.0,28063.04,1.122522,0,0,Electronics,China,Mozambique,1
TBML00000049,40107,250000.0,189658.49,0.758634,0,1,Chemicals,China,Mozambique,1
TBML00000050,25718,50000.0,48925.11,0.978502,0,0,Electronics,United Arab Emirates,Mauritius,1
TBML00000051,21899,100000.0,102380.92,1.023809,0,0,Chemicals,United Kingdom,Mauritius,1
TBML00000052,4208,25000.0,15620.47,0.624819,0,1,Textiles,South Africa,Mauritius,1
TBML00000053,17284,250000.0,307354.4,1.229418,1,0,Vehicles,China,United Arab Emirates,1
TBML00000054,2348,25000.0,30359.47,1.214379,1,0,Vehicles,United Arab Emirates,United Kingdom,1
TBML00000055,5283,10000.0,11052.27,1.105227,0,0,Fuel,India,United Kingdom,1
TBML00000056,31263,100000.0,140052.48,1.400525,1,0,Textiles,China,United Arab Emirates,1
TBML00000057,27684,250000.0,348465.03,1.39386,1,0,Chemicals,Mauritius,China,1
TBML00000058,18049,100000.0,94083.85,0.940838,0,0,Vehicles,United Kingdom,United Kingdom,1
TBML00000059,31079,10000.0,12165.96,1.216596,1,0,Textiles,China,Botswana,1
TBML00000060,18895,100000.0,128662.72,1.286627,1,0,Vehicles,India,Mauritius,1
TBML00000061,7146,100000.0,69609.34,0.696093,0,1,Chemicals,Mauritius,Botswana,1
TBML00000062,20516,10000.0,14366.84,1.436684,1,0,Fuel,India,Mozambique,0
TBML00000063,13137,10000.0,8509.62,0.850962,0,0,Electronics,Mauritius,Mozambique,1
TBML00000064,25237,10000.0,13768.31,1.376831,1,0,Chemicals,United Kingdom,United Arab Emirates,1
TBML00000065,20454,50000.0,58027.56,1.160551,0,0,Electronics,Zimbabwe,United Arab Emirates,1
TBML00000066,428,50000.0,38117.41,0.762348,0,1,Machinery,Mauritius,Mozambique,1
TBML00000067,48640,10000.0,10108.07,1.010807,0,0,Machinery,China,Botswana,1
TBML00000068,12201,250000.0,198193.7,0.792775,0,1,Chemicals,United Kingdom,United Kingdom,1
TBML00000069,35547,10000.0,13412.46,1.341246,1,0,Electronics,United Kingdom,China,1
TBML00000070,10835,10000.0,13553.45,1.355345,1,0,Vehicles,Mauritius,United Kingdom,1
TBML00000071,19520,250000.0,252089.35,1.008357,0,0,Machinery,China,United Kingdom,1
TBML00000072,9181,25000.0,34852.0,1.39408,1,0,Machinery,Mauritius,Botswana,1
TBML00000073,46021,10000.0,7659.36,0.765936,0,1,Fuel,South Africa,United Kingdom,1
TBML00000074,16807,10000.0,12126.25,1.212625,1,0,Vehicles,United Arab Emirates,Mauritius,1
TBML00000075,46847,25000.0,27723.41,1.108936,0,0,Chemicals,Zimbabwe,China,1
TBML00000076,3862,50000.0,51263.35,1.025267,0,0,Machinery,South Africa,Botswana,0
TBML00000077,10509,250000.0,322373.86,1.289495,1,0,Electronics,India,Botswana,0
TBML00000078,31665,250000.0,190085.19,0.760341,0,1,Machinery,India,Kenya,0
TBML00000079,39693,10000.0,9089.16,0.908916,0,0,Chemicals,India,Mauritius,1
TBML00000080,39691,100000.0,144601.63,1.446016,1,0,Chemicals,South Africa,China,1
TBML00000081,11427,50000.0,45979.94,0.919599,0,0,Textiles,United Arab Emirates,Mozambique,1
TBML00000082,8799,50000.0,43695.91,0.873918,0,0,Fuel,United Kingdom,Mauritius,1
TBML00000083,48146,100000.0,109417.73,1.094177,0,0,Chemicals,United Arab Emirates,China,1
TBML00000084,21057,100000.0,108638.39,1.086384,0,0,Vehicles,India,Mozambique,0
TBML00000085,8117,100000.0,128027.58,1.280276,1,0,Chemicals,United Kingdom,China,1
TBML00000086,23696,250000.0,367890.59,1.471562,1,0,Machinery,India,Botswana,0
TBML00000087,32554,10000.0,9198.51,0.919851,0,0,Electronics,South Africa,United Kingdom,1
TBML00000088,17327,10000.0,13842.07,1.384207,1,0,Textiles,United Kingdom,Kenya,1
TBML00000089,9928,50000.0,64773.99,1.29548,1,0,Fuel,United Kingdom,Mozambique,1
TBML00000090,30244,10000.0,9398.03,0.939803,0,0,Chemicals,South Africa,Kenya,0
TBML00000091,46420,100000.0,141772.28,1.417723,1,0,Textiles,Zimbabwe,United Kingdom,1
TBML00000092,31530,25000.0,13530.91,0.541236,0,1,Machinery,India,United Arab Emirates,1
TBML00000093,40813,50000.0,59767.24,1.195345,0,0,Fuel,India,Botswana,0
TBML00000094,10261,10000.0,14159.72,1.415972,1,0,Chemicals,China,Kenya,1
TBML00000095,3573,50000.0,54138.24,1.082765,0,0,Machinery,Zimbabwe,Botswana,0
TBML00000096,20640,100000.0,89327.21,0.893272,0,0,Fuel,Mauritius,Botswana,1
TBML00000097,31504,25000.0,16142.02,0.645681,0,1,Textiles,South Africa,United Kingdom,1
TBML00000098,40400,250000.0,220982.11,0.883928,0,0,Chemicals,United Kingdom,United Arab Emirates,1
TBML00000099,28371,100000.0,121305.46,1.213055,1,0,Fuel,Mauritius,Botswana,1
TBML00000100,12650,50000.0,25046.94,0.500939,0,1,Textiles,Zimbabwe,United Kingdom,1
TBML00000101,28004,50000.0,29317.47,0.586349,0,1,Chemicals,India,Mozambique,0
TBML00000102,294,250000.0,324782.03,1.299128,1,0,Vehicles,Zimbabwe,United Kingdom,1
TBML00000103,14007,25000.0,37428.62,1.497145,1,0,Fuel,Mauritius,Mozambique,1
TBML00000104,44533,250000.0,373931.42,1.495726,1,0,Electronics,Zimbabwe,Mauritius,1
TBML00000105,28454,25000.0,28834.26,1.153371,0,0,Vehicles,Zimbabwe,Kenya,0
TBML00000106,29594,100000.0,143754.54,1.437545,1,0,Fuel,Zimbabwe,United Kingdom,1
TBML00000107,23750,10000.0,5386.46,0.538646,0,1,Textiles,South Africa,Botswana,0
TBML00000108,30054,10000.0,7631.99,0.763199,0,1,Electronics,China,Kenya,1
TBML00000109,49723,250000.0,354518.62,1.418074,1,0,Electronics,China,United Arab Emirates,1
TBML00000110,4891,250000.0,366059.6,1.464238,1,0,Vehicles,Zimbabwe,China,1
TBML00000111,32874,25000.0,22587.03,0.903481,0,0,Machinery,China,Mauritius,1
TBML00000112,21713,250000.0,161376.96,0.645508,0,1,Textiles,United Kingdom,United Arab Emirates,1
TBML00000113,10879,250000.0,356230.35,1.424921,1,0,Machinery,Mauritius,China,1
TBML00000114,34784,50000.0,69467.92,1.389358,1,0,Machinery,India,Botswana,0
TBML00000115,45504,25000.0,33667.38,1.346695,1,0,Machinery,South Africa,Botswana,0
TBML00000116,39393,25000.0,22672.35,0.906894,0,0,Textiles,India,Kenya,0
TBML00000117,21150,50000.0,50394.39,1.007888,0,0,Vehicles,South Africa,United Arab Emirates,1
TBML00000118,28124,25000.0,29997.33,1.199893,0,0,Textiles,United Arab Emirates,United Arab Emirates,1
TBML00000119,38220,100000.0,77404.79,0.774048,0,1,Machinery,South Africa,United Arab Emirates,1
TBML00000120,1442,50000.0,27787.72,0.555754,0,1,Chemicals,United Arab Emirates,Mauritius,1
TBML00000121,48139,25000.0,13841.81,0.553673,0,1,Vehicles,Mauritius,Mauritius,1
TBML00000122,16366,50000.0,27499.04,0.549981,0,1,Textiles,United Arab Emirates,United Kingdom,1
TBML00000123,40931,100000.0,99695.38,0.996954,0,0,Chemicals,United Arab Emirates,Botswana,1
TBML00000124,17599,100000.0,96813.41,0.968134,0,0,Machinery,Mauritius,Mozambique,1
TBML00000125,47766,25000.0,20536.32,0.821453,0,0,Textiles,United Arab Emirates,Botswana,1
TBML00000126,19976,100000.0,57546.42,0.575464,0,1,Textiles,Zimbabwe,Botswana,0
TBML00000127,31519,10000.0,10488.4,1.04884,0,0,Machinery,India,United Arab Emirates,1
TBML00000128,43590,50000.0,59684.56,1.193691,0,0,Chemicals,Mauritius,Mozambique,1
TBML00000129,47219,10000.0,7397.74,0.739774,0,1,Textiles,Zimbabwe,Mozambique,0
TBML00000130,47417,10000.0,9006.61,0.900661,0,0,Electronics,Mauritius,Mozambique,1
TBML00000131,18054,250000.0,209283.43,0.837134,0,0,Machinery,Zimbabwe,Mauritius,1
TBML00000132,7059,10000.0,12740.2,1.27402,1,0,Fuel,South Africa,United Arab Emirates,1
TBML00000133,18599,25000.0,23846.03,0.953841,0,0,Electronics,India,Botswana,0
TBML00000134,40037,100000.0,108584.84,1.085848,0,0,Chemicals,United Kingdom,Kenya,1
TBML00000135,14350,100000.0,95366.28,0.953663,0,0,Electronics,South Africa,Botswana,0
TBML00000136,19421,250000.0,288929.11,1.155716,0,0,Electronics,United Kingdom,Mauritius,1
TBML00000137,18302,100000.0,76181.72,0.761817,0,1,Fuel,United Kingdom,United Arab Emirates,1
TBML00000138,14187,50000.0,29286.99,0.58574,0,1,Fuel,South Africa,Mozambique,0
TBML00000139,20297,250000.0,266979.25,1.067917,0,0,Machinery,South Africa,Mauritius,1
TBML00000140,48582,25000.0,19476.35,0.779054,0,1,Textiles,United Arab Emirates,Kenya,1
TBML00000141,44969,25000.0,14822.63,0.592905,0,1,Vehicles,South Africa,Mozambique,0
TBML00000142,29469,50000.0,30635.62,0.612712,0,1,Fuel,India,Kenya,0
TBML00000143,933,10000.0,5177.58,0.517758,0,1,Electronics,China,Botswana,1
TBML00000144,13678,50000.0,36636.95,0.732739,0,1,Vehicles,Mauritius,United Arab Emirates,1
TBML00000145,30732,250000.0,165805.9,0.663224,0,1,Electronics,United Arab Emirates,Mauritius,1
TBML00000146,38922,250000.0,252571.38,1.010286,0,0,Chemicals,United Kingdom,United Kingdom,1
TBML00000147,45429,50000.0,74300.47,1.486009,1,0,Machinery,United Arab Emirates,United Kingdom,1
TBML00000148,43402,100000.0,83377.9,0.833779,0,0,Chemicals,Mauritius,Mozambique,1
TBML00000149,28,10000.0,14100.65,1.410065,1,0,Chemicals,South Africa,Mozambique,0
TBML00000150,34755,250000.0,305207.19,1.220829,1,0,Textiles,China,Botswana,1
TBML00000151,37255,10000.0,10617.61,1.061761,0,0,Chemicals,India,Botswana,0
TBML00000152,19006,10000.0,13567.59,1.356759,1,0,Textiles,United Kingdom,United Kingdom,1
TBML00000153,29028,50000.0,30630.75,0.612615,0,1,Electronics,United Arab Emirates,Mozambique,1
TBML00000154,22417,50000.0,52792.55,1.055851,0,0,Chemicals,India,China,1
TBML00000155,11814,10000.0,6483.1,0.64831,0,1,Electronics,Mauritius,United Kingdom,1
TBML00000156,219,25000.0,24496.87,0.979875,0,0,Vehicles,Mauritius,Botswana,1
TBML00000157,306,10000.0,6233.46,0.623346,0,1,Electronics,South Africa,Mauritius,1
TBML00000158,45998,100000.0,90851.47,0.908515,0,0,Chemicals,Mauritius,United Kingdom,1
TBML00000159,24336,10000.0,11387.47,1.138747,0,0,Vehicles,Zimbabwe,China,1
TBML00000160,38733,10000.0,9917.16,0.991716,0,0,Electronics,United Arab Emirates,United Kingdom,1
TBML00000161,28058,10000.0,7108.73,0.710873,0,1,Machinery,Zimbabwe,Kenya,0
TBML00000162,21192,100000.0,146472.88,1.464729,1,0,Electronics,China,Botswana,1
TBML00000163,25934,50000.0,74149.6,1.482992,1,0,Textiles,South Africa,United Arab Emirates,1
TBML00000164,13587,100000.0,87086.82,0.870868,0,0,Machinery,United Kingdom,China,1
TBML00000165,46065,10000.0,10871.04,1.087104,0,0,Chemicals,Mauritius,Mauritius,1
TBML00000166,40222,50000.0,30489.97,0.609799,0,1,Vehicles,Zimbabwe,Botswana,0
TBML00000167,1663,100000.0,141737.55,1.417375,1,0,Chemicals,Zimbabwe,Mozambique,0
TBML00000168,10469,10000.0,5246.76,0.524676,0,1,Machinery,India,Mauritius,1
TBML00000169,39851,50000.0,66921.86,1.338437,1,0,Textiles,Mauritius,Mozambique,1
TBML00000170,27384,250000.0,260335.74,1.041343,0,0,Machinery,United Arab Emirates,Mauritius,1
TBML00000171,20772,250000.0,218735.76,0.874943,0,0,Machinery,Zimbabwe,United Kingdom,1
TBML00000172,19567,250000.0,180209.83,0.720839,0,1,Electronics,India,Mozambique,0
TBML00000173,2355,100000.0,70618.85,0.706189,0,1,Electronics,India,China,1
TBML00000174,47386,10000.0,14276.02,1.427602,1,0,Textiles,South Africa,Mauritius,1
TBML00000175,28790,50000.0,40882.68,0.817654,0,0,Chemicals,India,Mozambique,0
TBML00000176,3456,25000.0,22736.34,0.909453,0,0,Electronics,China,Botswana,1
TBML00000177,12333,100000.0,141202.9,1.412029,1,0,Machinery,China,Mauritius,1
TBML00000178,38627,10000.0,9709.14,0.970914,0,0,Vehicles,India,United Kingdom,1
TBML00000179,40333,100000.0,85707.26,0.857073,0,0,Textiles,India,Kenya,0
TBML00000180,3129,250000.0,334680.92,1.338724,1,0,Chemicals,Zimbabwe,Mauritius,1
TBML00000181,31916,10000.0,5307.1,0.53071,0,1,Textiles,United Kingdom,Mozambique,1
TBML00000182,8996,100000.0,54993.43,0.549934,0,1,Fuel,United Kingdom,United Arab Emirates,1
TBML00000183,8184,10000.0,10312.9,1.03129,0,0,Textiles,United Arab Emirates,China,1
TBML00000184,28415,25000.0,31703.68,1.268147,1,0,Machinery,India,Mozambique,0
TBML00000185,11753,50000.0,48501.94,0.970039,0,0,Machinery,China,Kenya,1
TBML00000186,5547,250000.0,202329.34,0.809317,0,0,Fuel,Mauritius,China,1
TBML00000187,47553,50000.0,65803.72,1.316074,1,0,Electronics,Mauritius,Botswana,1
TBML00000188,42727,50000.0,47190.2,0.943804,0,0,Electronics,Zimbabwe,Kenya,0
TBML00000189,41441,25000.0,32793.58,1.311743,1,0,Vehicles,South Africa,Mauritius,1
TBML00000190,3289,10000.0,10695.47,1.069547,0,0,Chemicals,Zimbabwe,United Arab Emirates,1
TBML00000191,19370,100000.0,113238.23,1.132382,0,0,Vehicles,India,Kenya,0
TBML00000192,38321,100000.0,67864.4,0.678644,0,1,Chemicals,Zimbabwe,Kenya,0
TBML00000193,6777,100000.0,126405.65,1.264057,1,0,Vehicles,Zimbabwe,United Kingdom,1
TBML00000194,14437,50000.0,33775.15,0.675503,0,1,Fuel,Mauritius,United Kingdom,1
TBML00000195,32184,25000.0,23340.14,0.933606,0,0,Textiles,China,Mauritius,1
TBML00000196,41772,50000.0,54068.14,1.081363,0,0,Chemicals,China,Mauritius,1
TBML00000197,44878,25000.0,25008.52,1.000341,0,0,Machinery,South Africa,Botswana,0
TBML00000198,34035,100000.0,51111.0,0.51111,0,1,Textiles,United Arab Emirates,United Arab Emirates,1
TBML00000199,20304,50000.0,33527.53,0.670551,0,1,Fuel,United Arab Emirates,Mauritius,1
TBML00000200,5306,25000.0,33068.56,1.322742,1,0,Chemicals,India,Mauritius,1
TBML00000201,8567,100000.0,60393.12,0.603931,0,1,Vehicles,United Kingdom,Mozambique,1
TBML00000202,48206,50000.0,59340.65,1.186813,0,0,Electronics,United Arab Emirates,Mauritius,1
TBML00000203,43080,250000.0,239248.77,0.956995,0,0,Textiles,United Arab Emirates,United Arab Emirates,1
TBML00000204,13998,10000.0,8404.2,0.84042,0,0,Vehicles,Zimbabwe,Kenya,0
TBML00000205,5284,100000.0,115411.51,1.154115,0,0,Electronics,United Arab Emirates,United Kingdom,1
TBML00000206,5000,250000.0,180596.72,0.722387,0,1,Fuel,South Africa,Kenya,0
TBML00000207,46710,10000.0,5875.6,0.58756,0,1,Textiles,India,Mozambique,0
TBML00000208,3347,250000.0,209773.97,0.839096,0,0,Machinery,United Arab Emirates,Mozambique,1
TBML00000209,42642,250000.0,310040.68,1.240163,1,0,Vehicles,Mauritius,Mozambique,1
TBML00000210,29202,100000.0,82545.01,0.82545,0,0,Electronics,South Africa,United Kingdom,1
TBML00000211,20613,25000.0,19965.35,0.798614,0,1,Chemicals,United Arab Emirates,China,1
TBML00000212,20775,50000.0,53290.31,1.065806,0,0,Fuel,Mauritius,Mauritius,1
TBML00000213,10883,10000.0,14040.95,1.404095,1,0,Fuel,United Kingdom,Mozambique,1
TBML00000214,1460,10000.0,8716.12,0.871612,0,0,Chemicals,United Kingdom,United Arab Emirates,1
TBML00000215,30808,100000.0,74810.61,0.748106,0,1,Machinery,South Africa,United Kingdom,1
TBML00000216,37741,10000.0,14709.48,1.470948,1,0,Fuel,India,Mozambique,0
TBML00000217,24131,50000.0,66338.26,1.326765,1,0,Machinery,United Kingdom,United Arab Emirates,1
TBML00000218,18009,25000.0,32421.61,1.296865,1,0,Chemicals,United Kingdom,United Kingdom,1
TBML00000219,32761,25000.0,17267.91,0.690716,0,1,Fuel,Zimbabwe,Botswana,0
TBML00000220,9742,25000.0,15468.86,0.618754,0,1,Electronics,South Africa,United Arab Emirates,1
TBML00000221,33541,50000.0,34996.25,0.699925,0,1,Vehicles,Mauritius,China,1
TBML00000222,7237,10000.0,11915.6,1.19156,0,0,Fuel,India,Botswana,0
TBML00000223,46527,25000.0,32705.89,1.308236,1,0,Textiles,South Africa,China,1
TBML00000224,33865,10000.0,7578.1,0.75781,0,1,Machinery,Zimbabwe,United Arab Emirates,1
TBML00000225,2846,10000.0,13162.36,1.316236,1,0,Chemicals,India,Mozambique,0
TBML00000226,12020,10000.0,7898.8,0.78988,0,1,Textiles,China,United Arab Emirates,1
TBML00000227,35470,100000.0,90575.18,0.905752,0,0,Fuel,China,Botswana,1
TBML00000228,17738,25000.0,35688.71,1.427548,1,0,Fuel,India,China,1
TBML00000229,45500,100000.0,136158.64,1.361586,1,0,Machinery,Zimbabwe,China,1
TBML00000230,45783,250000.0,281948.62,1.127794,0,0,Textiles,United Arab Emirates,United Arab Emirates,1
TBML00000231,4037,25000.0,18581.74,0.74327,0,1,Vehicles,India,Botswana,0
TBML00000232,48708,10000.0,13625.45,1.362545,1,0,Vehicles,South Africa,Botswana,0
TBML00000233,30653,25000.0,16589.48,0.663579,0,1,Vehicles,Mauritius,China,1
TBML00000234,36216,100000.0,59213.16,0.592132,0,1,Machinery,United Kingdom,Botswana,1
TBML00000235,7875,10000.0,9626.3,0.96263,0,0,Fuel,United Kingdom,China,1
TBML00000236,35457,10000.0,7146.0,0.7146,0,1,Fuel,Mauritius,Mauritius,1
TBML00000237,22510,25000.0,24642.88,0.985715,0,0,Vehicles,China,Mauritius,1
TBML00000238,34056,250000.0,130252.34,0.521009,0,1,Machinery,Zimbabwe,Mauritius,1
TBML00000239,28033,50000.0,40136.96,0.802739,0,0,Machinery,United Kingdom,Mauritius,1
TBML00000240,17811,100000.0,58336.7,0.583367,0,1,Electronics,India,Mauritius,1
TBML00000241,44497,50000.0,49262.31,0.985246,0,0,Vehicles,United Kingdom,Botswana,1
TBML00000242,44356,50000.0,72915.61,1.458312,1,0,Electronics,United Kingdom,Mauritius,1
TBML00000243,20481,50000.0,69330.25,1.386605,1,0,Machinery,India,China,1
TBML00000244,39666,50000.0,48577.5,0.97155,0,0,Machinery,Zimbabwe,Mauritius,1
TBML00000245,34957,100000.0,75720.0,0.7572,0,1,Vehicles,United Arab Emirates,China,1
TBML00000246,20780,50000.0,39117.02,0.78234,0,1,Fuel,Mauritius,United Arab Emirates,1
TBML00000247,11916,250000.0,261081.66,1.044327,0,0,Fuel,Mauritius,Mauritius,1
TBML00000248,47322,10000.0,8274.95,0.827495,0,0,Machinery,United Kingdom,Kenya,1
TBML00000249,44555,10000.0,7840.85,0.784085,0,1,Vehicles,India,Mozambique,0
TBML00000250,48412,10000.0,6952.61,0.695261,0,1,Fuel,China,Kenya,1
TBML00000251,27726,50000.0,63314.89,1.266298,1,0,Electronics,South Africa,Mozambique,0
TBML00000252,7594,10000.0,5442.41,0.544241,0,1,Chemicals,Mauritius,China,1
TBML00000253,34743,100000.0,147299.83,1.472998,1,0,Vehicles,Mauritius,China,1
TBML00000254,28744,100000.0,140706.1,1.407061,1,0,Vehicles,Mauritius,Mauritius,1
TBML00000255,44335,25000.0,29006.35,1.160254,0,0,Vehicles,China,Botswana,1
TBML00000256,31061,25000.0,19184.81,0.767393,0,1,Fuel,South Africa,Botswana,0
TBML00000257,42166,250000.0,287592.5,1.15037,0,0,Machinery,Mauritius,United Kingdom,1
TBML00000258,24116,25000.0,31669.57,1.266783,1,0,Electronics,South Africa,Kenya,0
TBML00000259,28704,10000.0,10951.16,1.095116,0,0,Electronics,Zimbabwe,Kenya,0
TBML00000260,32132,25000.0,17756.42,0.710257,0,1,Vehicles,China,Kenya,1
TBML00000261,2315,250000.0,325509.78,1.302039,1,0,Textiles,India,United Kingdom,1
TBML00000262,29226,50000.0,35044.74,0.700895,0,1,Vehicles,China,United Kingdom,1
TBML00000263,30307,25000.0,18109.24,0.72437,0,1,Textiles,China,Botswana,1
TBML00000264,48758,250000.0,240766.7,0.963067,0,0,Chemicals,India,Botswana,0
TBML00000265,22057,100000.0,69272.47,0.692725,0,1,Machinery,India,Kenya,0
TBML00000266,9928,25000.0,14196.36,0.567854,0,1,Electronics,Zimbabwe,Kenya,0
TBML00000267,16242,25000.0,33823.98,1.352959,1,0,Vehicles,Zimbabwe,Mozambique,0
TBML00000268,31854,25000.0,20874.94,0.834997,0,0,Machinery,United Arab Emirates,China,1
TBML00000269,47569,10000.0,13996.07,1.399607,1,0,Textiles,Zimbabwe,Mozambique,0
TBML00000270,48076,250000.0,161905.67,0.647623,0,1,Electronics,United Arab Emirates,Mozambique,1
TBML00000271,31761,10000.0,9908.29,0.990829,0,0,Vehicles,Zimbabwe,United Kingdom,1
TBML00000272,47727,100000.0,55088.02,0.55088,0,1,Textiles,Zimbabwe,Mauritius,1
TBML00000273,16036,100000.0,131796.02,1.31796,1,0,Electronics,China,United Arab Emirates,1
TBML00000274,32984,250000.0,203951.59,0.815806,0,0,Vehicles,United Kingdom,China,1
TBML00000275,38925,10000.0,8713.89,0.871389,0,0,Electronics,South Africa,Botswana,0
TBML00000276,46117,250000.0,289395.15,1.157581,0,0,Electronics,Zimbabwe,United Arab Emirates,1
TBML00000277,39126,50000.0,53515.18,1.070304,0,0,Machinery,China,China,1
TBML00000278,12893,100000.0,77808.14,0.778081,0,1,Textiles,Zimbabwe,China,1
TBML00000279,15287,250000.0,313593.33,1.254373,1,0,Vehicles,United Arab Emirates,Kenya,1
TBML00000280,35006,10000.0,9700.72,0.970072,0,0,Chemicals,South Africa,Mozambique,0
TBML00000281,7579,100000.0,86900.47,0.869005,0,0,Electronics,India,Botswana,0
TBML00000282,40740,10000.0,13703.8,1.37038,1,0,Chemicals,India,United Kingdom,1
TBML00000283,20767,10000.0,14616.01,1.461601,1,0,Chemicals,Mauritius,Kenya,1
TBML00000284,7796,50000.0,32159.2,0.643184,0,1,Fuel,United Kingdom,United Arab Emirates,1
TBML00000285,19840,100000.0,106316.08,1.063161,0,0,Vehicles,United Arab Emirates,Mozambique,1
TBML00000286,33976,250000.0,231576.65,0.926307,0,0,Electronics,India,United Arab Emirates,1
TBML00000287,2998,100000.0,114946.21,1.149462,0,0,Chemicals,India,United Kingdom,1
TBML00000288,35256,25000.0,16095.63,0.643825,0,1,Vehicles,China,Kenya,1
TBML00000289,19222,10000.0,11181.58,1.118158,0,0,Machinery,India,United Arab Emirates,1
TBML00000290,34114,250000.0,172453.21,0.689813,0,1,Electronics,United Kingdom,United Arab Emirates,1
TBML00000291,39016,25000.0,32122.58,1.284903,1,0,Chemicals,China,Kenya,1
